0,1,2,3,,,,,,,,,
0.012357739,-0.002270287,0.149186136,-0.3141821,,0.012357739,-0.002270287,,,,,,
0.017509796,-0.01261472,0.108818505,-0.206775507,,0.017509796,-0.01261472,,,,,,
0.020690036,-0.018127221,0.050545029,-0.072008597,,0.020690036,-0.018127221,,,,,,
0.024324975,-0.025014959,0.131003446,-0.27082292,,0.024324975,-0.025014959,,,,,,
0.027317819,-0.030734717,0.019200265,-0.020116696,,0.027317819,-0.030734717,,,,,,
0.028475122,-0.03296478,0.038595905,-0.090804097,,0.028475122,-0.03296478,,,,,,
0.028462546,-0.03343408,-0.038938137,0.064896787,,0.028462546,-0.03343408,,,,,,
0.028213546,-0.034553376,0.026202002,-0.118369093,,0.028213546,-0.034553376,,,,,,
0.028087996,-0.037022656,-0.032227281,-0.007285651,,0.028087996,-0.037022656,,,,,,
0.026575635,-0.037433771,-0.043384026,-0.013285482,,0.026575635,-0.037433771,,,,,,
0.025300576,-0.0396868,-0.020461171,-0.098573278,,0.025300576,-0.0396868,,,,,,
0.021978414,-0.038365369,-0.145218171,0.161021214,,0.021978414,-0.038365369,,,,,,
0.018268963,-0.037680429,-0.040748728,-0.122421698,,0.018268963,-0.037680429,,,,,,
0.014829899,-0.038877495,-0.130855704,0.059578677,,0.014829899,-0.038877495,,,,,,
0.009732134,-0.037559286,-0.124141037,0.007361003,,0.009732134,-0.037559286,,,,,,
0.003731921,-0.035509836,-0.17575424,0.094217309,,0.003731921,-0.035509836,,,,,,
-0.003745375,-0.031413317,-0.198158761,0.111179997,,-0.003745375,-0.031413317,,,,,, uoiu
-0.011500638,-0.0280282,-0.189756705,0.059525725,,-0.011500638,-0.0280282,,,,,,
-0.019841241,-0.02443571,-0.227238138,0.119922546,,-0.019841241,-0.02443571,,,,,,
-0.030140967,-0.017346108,-0.287694294,0.234300133,,-0.030140967,-0.017346108,,,,,,
-0.039542763,-0.013437459,-0.182935908,-0.03406608,,-0.039542763,-0.013437459,,,,,,
-0.049004669,-0.009957371,-0.289816317,0.205206638,,-0.049004669,-0.009957371,,,,,,
-0.060235488,-0.002960623,-0.271969155,0.146936138,,-0.060235488,-0.002960623,,,,,,
-0.070878523,0.002189402,-0.260349907,0.112144444,,-0.070878523,0.002189402,,,,,,
-0.082331096,0.009063899,-0.312216696,0.231214936,,-0.082331096,0.009063899,,,,,,
-0.093737135,0.01573536,-0.258445118,0.105618899,,-0.093737135,0.01573536,,,,,,
-0.104381542,0.020889537,-0.273805587,0.152458668,,-0.104381542,0.020889537,,,,,,
-0.113593302,0.023168923,-0.18716067,-0.035198591,,-0.113593302,0.023168923,,,,,,
