runtime,score
0.048867941,104
0.052405834,78
0.052859068,154
0.047860861,153
0.045876265,89
0.043861151,43
0.046876192,40
0.048870325,40
0.044879913,47
0.058817625,94
0.055850983,126
0.051836014,90
0.047898531,80
0.058840513,120
0.04886961,232
0.051856756,161
0.050863266,166
0.051834822,276
0.057846546,177
0.054852486,345
0.053857565,257
0.050863981,364
0.057865858,242
0.057846308,300
0.05787015,377
0.061859846,591
0.07981205,463
0.05484128,519
0.056847095,303
0.066822052,427
0.075821877,800
0.056874275,412
0.062804461,511
0.056848288,443
0.0748384,746
0.057870626,500
0.07078433,429
0.055849791,443
0.059866667,319
0.083775043,677
0.066842318,702
0.06482625,656
0.055876017,570
0.073775768,609
0.060838938,556
0.053858995,399
0.076793671,438
0.060836554,553
0.057819605,499
0.067805767,568
0.061834812,575
0.063834667,487
0.064826965,499
0.069904089,798
0.058864594,453
0.052857637,470
0.069838762,559
0.058876038,592
0.06582284,484
0.065852165,505
0.067844868,635
0.063828707,507
0.063853741,686
0.061834335,690
0.063829899,555
0.055850267,366
0.06081152,447
0.059864759,519
0.081781626,472
0.055875063,479
0.077767372,612
0.069808006,631
0.07081008,597
0.071779013,725
0.076797009,779
0.064790964,760
0.060836077,452
0.057843924,353
0.053855896,336
0.063807249,286
0.074828148,513
0.055824757,455
0.062856674,361
0.074774504,803
0.065850496,676
0.085797071,1077
0.073831797,807
0.06086421,913
0.065824986,419
0.060838461,454
0.086763382,613
0.071809053,1025
0.064821482,754
0.084747553,822
0.060838461,733
0.065822601,429
0.079786777,483
0.065824747,1100
0.072805643,523
0.06482625,570
0.078788519,1128
0.086767673,829
0.065824032,773
0.067820072,589
0.055877209,564
0.071806908,564
0.065823793,894
0.085770845,948
0.086767197,928
0.060838223,536
0.067843914,389
0.072803974,958
0.065823793,648
0.066794872,495
0.071784496,878
0.079762936,1043
0.065824032,770
0.062830925,476
0.068817139,446
0.061832666,701
0.062366247,429
0.070811987,691
0.062831402,506
0.06083703,305
0.059840441,456
0.062806845,360
0.065824032,456
0.096744299,584
0.081781149,825
0.075773716,858
0.070836544,724
0.059839964,601
0.071808338,453
0.066847563,666
0.078815937,941
0.091755629,1040
0.070781946,906
0.09275198,911
0.125662804,1437
0.083786488,1172
0.089759827,1308
0.08177042,1263
0.10868597,1428
0.062806129,785
0.07081008,606
0.087764263,943
0.09276104,1382
0.057845831,577
0.079785824,699
0.073801517,1004
0.094774246,1004
0.088764429,1099
0.104717493,1553
0.106713533,1855
0.087765455,1637
0.118709564,1175
0.158574343,2455
0.107717037,1580
0.122672081,1991
0.165531874,2114
0.144584656,2191
0.114697695,3007
0.17969799,2409
0.172575474,2193
0.155605316,2415
0.138659716,2315
0.097712994,2042
0.102723598,2073
0.128680706,1866
0.113671303,2055
0.119679928,2030
0.121675253,1945
0.157577753,2681
0.126662493,2200
0.190497398,2082
0.17253828,2674
0.158577442,2907
0.121694565,2558
0.137632608,2465
0.168577671,3298
0.15857625,2917
0.204453468,3435
0.276233673,3996
0.130649328,2671
0.171543121,2605
0.258301258,3257
0.143591881,3004
0.151594162,2153
0.114692688,2524
0.102747202,2817
0.121649981,2278
0.156581163,1988
0.108714342,1538
0.086795092,1891
0.100730419,1677
0.093722582,1132
0.066821575,686
0.073803186,989
0.169546604,3170
0.075797319,1578
0.177524567,4262
0.115716696,3802
0.145609617,2121
0.087785959,1738
0.128682137,2383
0.326101542,2226
0.084794283,2600
0.090756178,1663
0.13765955,1429
0.074826241,1788
0.078820705,859
0.078816175,672
0.140632391,1722
0.083769083,885
0.100754738,1080
0.068844795,1090
0.061808109,466
0.069839716,626
0.060834169,592
0.062805891,510
0.147605419,1071
0.13663578,1326
0.066854715,881
0.063817263,460
0.068813324,508
0.058857441,359
0.069419622,407
0.061834574,420
0.067840099,373
0.058842421,392
0.055850506,277
0.055846453,268
0.055851221,230
0.058874846,283
0.052858353,231
0.055850029,221
0.062831163,234
0.052859783,210
0.057845354,199
0.056848049,327
0.059843063,328
0.055850506,256
0.053856134,207
0.053855896,282
0.05582428,247
0.051863909,183
0.056819677,189
0.067844629,370
0.056843042,267
0.054827452,248
0.051894665,201
0.055823326,222
0.058843374,270
0.079785824,568
0.061809301,610
0.057843208,307
0.069785118,440
0.074798107,1145
0.0698421,2034
0.072780848,1492
0.056818485,358
0.056846142,249
0.056822062,256
0.060863733,233
0.102699518,615
0.055850506,345
0.050863743,190
0.053857088,165
0.050869703,166
0.051862478,169
0.055823565,175
0.068818092,385
0.061810493,509
0.056846857,252
0.052859545,185
0.055871964,176
0.052863359,161
0.058858156,258
0.055849075,223
0.053878307,146
0.053855181,174
0.053855658,162
0.054848909,166
0.058423042,230
0.05882144,214
0.057866573,345
0.054875374,236
0.050864458,190
0.051860571,157
0.052830696,170
0.053882837,154
0.05781889,226
0.056851387,222
0.090756655,540
0.064826727,497
0.085770369,371
0.055823803,280
0.068789959,679
0.063830376,649
0.05288434,399
0.0478971,126
0.054826498,100
0.050863743,138
0.055843353,156
0.05486846,270
0.07078433,491
0.059840679,669
0.052837849,215
0.050863266,135
0.052834034,176
0.053850174,349
0.072805882,643
0.082752228,728
0.05086422,275
0.077765226,629
0.061861277,817
0.049846172,244
0.070783854,420
0.070832729,671
0.068814754,655
0.069812059,691
0.085771322,631
0.086769342,919
0.085770607,1079
0.101752281,1295
0.082758904,1123
0.082777977,798
0.093748093,1169
0.076794147,745
0.073792458,844
0.079786062,835
0.078761578,881
0.0738132,842
0.091754675,837
0.081786394,1381
0.068790197,748
0.07381916,654
0.069787741,607
